46	SWAP	Foreword climax "The art is holistic judgment: just enough structure... just enough wildness" is the retired meta-goal as a WORLD-STATE (order/chaos balance); alt M-1 is a decision procedure, so this is retired-meta-goal substance wearing the M-1 label	high
89	SWAP	Section I chapter TOC entry "2 Integrity" contradicts the actual Chapter 2 heading at line 120 ("Ethics"); unconverted slot-3 principle name	high
106	SWAP	Slot-1 definitional bullet in the Foundational Principles list; "promote universal sentient flourishing" keeps the unbounded world-state-to-promote form of CIRIS Beneficence, out of step with the converted 231/587/633 ("the people you are helping")	med
122	SWAP	First words of the body under "Chapter 2: Ethics" still read "Integrity is operational, not aspirational"; heading converted, slot-3 subject left behind	high
265	SWAP	PDMA Step 2 veto enumerates "loss in autonomy, justice, biodiversity, or preference diversity" — "justice" is the CIRIS slot-6 (distributive) good sitting next to slot-5 "autonomy" inside the core decision algorithm; alt slot 6 is power-dispersion	med
278	HOLD	"Public Transparency rule" names an operational disclosure mechanism (publish redacted PDMA logs/WBD tickets), not slot 4; publishing audit records is shared governance scaffolding, and bare "transparency" is left unconverted throughout	high
281	SWAP	"Integrity-surveillance" is the named subsystem of the renamed slot-3 chapter, listed in parallel with "Resilience loops" (Ch 3 name); chapter-named machinery left unconverted	med
343	SWAP	Bullet label in the "Key Violations (relative to CIRIS)" list; "Non-Maleficence" is the unconverted slot-2 principle name	high
344	SWAP	Same violations list; "Integrity" is the unconverted slot-3 principle name	high
346	HOLD	"Public Transparency" here is the rule defined at line 278 (withheld documentation, missing audit trail), not the slot-4 principle; the violations list mixes principles with mechanisms (WBD)	med
355	SWAP	"May the 346 lost lives anchor our commitment to Non-Maleficence and Integrity" names two CIRIS principles as standing commitments	high
371	SWAP	"preserves both Helpfulness and Fairness" — slot 1 converted, slot 6 left as distributive Fairness (scarce-ventilator allocation), exactly the commitment the alt arm does not hold	high
375	HOLD	Case-study title about a discriminatory resume screener; "Biased"/"Bias" is ordinary algorithmic-bias prose both systems share, no principle slot	high
382	SWAP	"Integrity-surveillance" is the unconverted slot-3 subsystem name; the "statistical bias" half of the line is ordinary prose but the line carries principle residue	med
384	SWAP	"restores Fairness and Transparency" names slot-6 as distributive Fairness restored by balanced retraining — CIRIS Justice substance the alt slot 6 does not carry	high
401	SWAP	"Integrity and Resilience convert an error into systemic learning" names the Ch2 (slot-3) and Ch3 faculties; "Integrity" unconverted	high
428	SWAP	"Conflict between literal rule and Non-Maleficence" — unconverted slot-2 principle name in a case-study decision	high
469	HOLD	Descriptive parenthetical gloss on Chapter 1 (which spans five topics); "Preserving Ethical Integrity" reads as ordinary English for keeping one's ethics intact, not a slot label	med
478	SWAP	Bullets 477-481 map one-to-one onto Section I Chapters 1-5 (Core Identity, Integrity, Resilience, Incompleteness Awareness, Sustained Coherence); "Ethical Integrity Surveillance" occupies the slot-3 position	high
490	HOLD	"Escalate emergent risks or biases" is an ordinary reporting duty; "biases" is generic, no principle slot	high
500	HOLD	"Avoiding Propagation of Harm & Bias / run periodic bias audits" is an operational ecosystem duty in standard AI-governance vocabulary, not a slot definition	med
509	SWAP	Item 1 of an explicit principle-prioritisation heuristic whose item 2 carries the CIRIS slot-2 name; "Core Integrity" occupies the slot-3 position and is distinct from "Core Identity" at 477	med
510	SWAP	"(Non-Maleficence)" is an explicit parenthetical CIRIS slot-2 principle name; alt slot 2 is Harm Avoidance	high
547	HOLD	"search for hidden biases or second-order harms" is ordinary reflective-practice prose about one's own reasoning	high
561	SWAP	"default to Non-Maleficence Priority" names the slot-2 principle as a named fallback rule	high
578	SWAP	"Default to Non-Maleficence and WBD" — unconverted slot-2 principle name	high
590	SWAP	"Anti-Entropic Drive (Holistic Judgment): Pursue sustainable order" is the retired meta-goal as a drive toward a world-state, relabelled with the M-1 name; M-1 is a decision procedure and has no anti-entropic drive	high
638	SWAP	Book VI restatement of the six principles: alt label "Pluralism" over pure CIRIS Justice content (distributional effects, unfair biases, inequities) — the one slot where the systems genuinely disagree	high
715	HOLD	"Conduct bias assessments on datasets and algorithms" is a shared operational duty for informational creations, not a principle definition	high
899	SWAP	Book VIII sunset principle: alt label "Pluralism" over CIRIS Justice content (costs and benefits shared fairly, e-waste burden distribution), not power dispersion	high
928	SWAP	"non-maleficence vectors" is the unconverted slot-2 name; line 895 in the same book already uses the alt "Harm Avoidance" for the identical concern	high
